x,z,elevation
-1250.0,-1250.0,93.58
-1198.98,-1250.0,93.25
-1147.96,-1250.0,92.93
-1096.94,-1250.0,92.62
-1045.92,-1250.0,92.33
-994.9,-1250.0,92.06
-943.88,-1250.0,91.82
-892.86,-1250.0,91.62
-841.84,-1250.0,91.46
-790.82,-1250.0,91.33
-739.8,-1250.0,91.26
-688.78,-1250.0,91.23
-637.76,-1250.0,91.24
-586.73,-1250.0,91.31
-535.71,-1250.0,91.43
-484.69,-1250.0,91.59
-433.67,-1250.0,91.8
-382.65,-1250.0,92.05
-331.63,-1250.0,92.34
-280.61,-1250.0,92.66
-229.59,-1250.0,93.02
-178.57,-1250.0,93.41
-127.55,-1250.0,93.81
-76.53,-1250.0,94.23
-25.51,-1250.0,94.66
25.51,-1250.0,95.1
76.53,-1250.0,95.53
127.55,-1250.0,95.95
178.57,-1250.0,96.35
229.59,-1250.0,96.74
280.61,-1250.0,97.1
331.63,-1250.0,97.42
382.65,-1250.0,97.72
433.67,-1250.0,97.97
484.69,-1250.0,98.17
535.71,-1250.0,98.34
586.73,-1250.0,98.45
637.76,-1250.0,98.52
688.78,-1250.0,98.54
739.8,-1250.0,98.5
790.82,-1250.0,98.43
841.84,-1250.0,98.31
892.86,-1250.0,98.14
943.88,-1250.0,97.94
994.9,-1250.0,97.7
1045.92,-1250.0,97.44
1096.94,-1250.0,97.14
1147.96,-1250.0,96.83
1198.98,-1250.0,96.51
1250.0,-1250.0,96.18
-1250.0,-1198.98,93.72
-1198.98,-1198.98,93.39
-1147.96,-1198.98,93.07
-1096.94,-1198.98,92.76
-1045.92,-1198.98,92.47
-994.9,-1198.98,92.2
-943.88,-1198.98,91.97
-892.86,-1198.98,91.76
-841.84,-1198.98,91.6
-790.82,-1198.98,91.48
-739.8,-1198.98,91.4
-688.78,-1198.98,91.37
-637.76,-1198.98,91.39
-586.73,-1198.98,91.45
-535.71,-1198.98,91.57
-484.69,-1198.98,91.73
-433.67,-1198.98,91.94
-382.65,-1198.98,92.19
-331.63,-1198.98,92.48
-280.61,-1198.98,92.81
-229.59,-1198.98,93.17
-178.57,-1198.98,93.55
-127.55,-1198.98,93.96
-76.53,-1198.98,94.38
-25.51,-1198.98,94.81
25.51,-1198.98,95.24
76.53,-1198.98,95.67
127.55,-1198.98,96.09
178.57,-1198.98,96.5
229.59,-1198.98,96.88
